2013-01-29,CHF,1.339320
2013-01-29,CNY,0.198771
2013-01-29,HKD,0.159552
2013-01-29,MYR,0.401463
2013-01-29,ZAR,0.136544
2013-01-30,USD,1.236024
2013-01-30,EUR,1.673700
2013-01-30,GBP,1.950017
2013-01-30,JPY,0.013547
2013-01-30,CHF,1.350629
2013-01-30,CNY,0.198685
2013-01-30,HKD,0.159304
2013-01-30,MYR,0.400829
2013-01-30,ZAR,0.136544
2013-01-31,USD,1.237491
2013-01-31,EUR,1.676800
2013-01-31,GBP,1.956593
2013-01-31,JPY,0.013597
2013-01-31,CHF,1.358613
2013-01-31,CNY,0.198987
2013-01-31,HKD,0.159534
2013-01-31,MYR,0.398422
2013-01-31,ZAR,0.138524
2013-02-01,USD,1.241132
2013-02-01,EUR,1.693400
2013-02-01,GBP,1.965185
2013-02-01,JPY,0.013463
2013-02-01,CHF,1.371063
2013-02-01,CNY,0.199306
2013-02-01,HKD,0.159986
2013-02-01,MYR,0.398898
2013-02-01,ZAR,0.138667
2013-02-04,USD,1.238267
2013-02-04,EUR,1.678100
2013-02-04,GBP,1.946978
2013-02-04,JPY,0.013357
2013-02-04,CHF,1.358785
2013-02-04,CNY,0.198634
2013-02-04,HKD,0.159696
2013-02-04,MYR,0.398788
2013-02-04,ZAR,0.138471
2013-02-05,USD,1.238236
2013-02-05,EUR,1.676200
2013-02-05,GBP,1.949296
2013-02-05,JPY,0.013268
2013-02-05,CHF,1.362875
2013-02-05,CNY,0.198741
2013-02-05,HKD,0.159691
2013-02-05,MYR,0.399971
2013-02-05,ZAR,0.139486
2013-02-06,USD,1.237701
2013-02-06,EUR,1.673000
2013-02-06,GBP,1.938362
2013-02-06,JPY,0.013227
2013-02-06,CHF,1.354875
2013-02-06,CNY,0.198604
2013-02-06,HKD,0.159616
2013-02-06,MYR,0.399627
2013-02-06,ZAR,0.138731
2013-02-07,USD,1.238373
2013-02-07,EUR,1.677500
2013-02-07,GBP,1.945153
2013-02-07,JPY,0.013221
2013-02-07,CHF,1.362492
2013-02-07,CNY,0.198709
2013-02-07,HKD,0.159660
2013-02-07,MYR,0.399386
2013-02-07,ZAR,0.138935
2013-02-08,USD,1.237700
2013-02-08,EUR,1.655300
2013-02-08,GBP,1.955810
2013-02-08,JPY,0.013401
2013-02-08,CHF,1.347745
2013-02-08,CNY,0.198496
2013-02-08,HKD,0.159589
2013-02-08,MYR,0.399493
2013-02-08,ZAR,0.138680
2013-02-11,USD,1.239564
2013-02-11,EUR,1.659900
2013-02-11,GBP,1.944815
2013-02-11,JPY,0.013266
2013-02-11,CHF,1.350171
2013-02-11,CNY,0.198890
2013-02-11,HKD,0.159841
